company_id,quarter,year,sales_usd,marketing_spend_usd,employees,region
C001,Q1,2023,125000,15000,25,North
C001,Q2,2023,145000,18000,26,North
C001,Q3,2023,165000,20000,28,North
C001,Q4,2023,195000,25000,30,North
C001,Q1,2024,210000,28000,32,North
C001,Q2,2024,235000,32000,34,North
C002,Q1,2023,85000,10000,15,South
C002,Q2,2023,95000,12000,16,South
C002,Q3,2023,105000,14000,18,South
C002,Q4,2023,125000,18000,20,South
C002,Q1,2024,140000,21000,22,South
C002,Q2,2024,160000,25000,24,South
C003,Q1,2023,65000,8000,12,East
C003,Q2,2023,72000,9500,13,East
C003,Q3,2023,80000,11000,14,East
C003,Q4,2023,95000,14000,16,East
