sample_id,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7,gene_8,gene_9,gene_10,disease_status
S001,2.4,5.8,3.2,4.1,2.9,6.2,3.7,5.1,2.5,4.3,healthy
S002,1.8,6.2,2.9,4.5,3.2,6.8,4.1,5.5,2.8,4.7,healthy
S003,5.2,2.1,6.4,1.8,5.8,1.9,5.9,2.2,6.1,2.3,disease
S004,5.5,2.4,6.7,2.1,6.1,2.2,6.2,2.5,6.4,2.6,disease
S005,2.3,5.9,3.1,4.2,2.8,6.1,3.6,5.2,2.4,4.4,healthy
S006,5.4,2.3,6.5,2.0,5.9,2.0,6.0,2.3,6.2,2.4,disease
S007,2.1,6.0,3.3,4.0,3.0,6.3,3.8,5.0,2.6,4.2,healthy
S008,5.3,2.2,6.6,1.9,6.0,2.1,6.1,2.4,6.3,2.5,disease
S009,2.5,5.7,3.0,4.3,2.7,6.0,3.5,5.3,2.3,4.5,healthy
S010,5.6,2.5,6.8,2.2,6.2,2.3,6.3,2.6,6.5,2.7,disease
