study_id,author,year,effect_size,standard_error,sample_size,sample_size_control,confidence_interval_lower,confidence_interval_upper
Study1,Smith,2010,0.45,0.08,120,110,0.29,0.61
Study2,Jones,2011,0.52,0.09,95,100,0.34,0.70
Study3,Brown,2012,0.38,0.10,80,85,0.18,0.58
Study4,Wilson,2013,0.61,0.07,150,145,0.47,0.75
Study5,Miller,2014,0.44,0.11,70,72,0.22,0.66
Study6,Davis,2015,0.55,0.08,110,115,0.39,0.71
Study7,Anderson,2016,0.48,0.09,100,105,0.30,0.66
Study8,Taylor,2017,0.51,0.07,140,138,0.37,0.65
Study9,Thomas,2018,0.46,0.10,85,90,0.26,0.66
Study10,Moore,2019,0.53,0.08,125,120,0.37,0.69
Study11,Jackson,2020,0.42,0.09,95,98,0.24,0.60
Study12,Martin,2021,0.58,0.07,160,155,0.44,0.72
Study13,Lee,2022,0.49,0.08,105,110,0.33,0.65
Study14,Walker,2023,0.54,0.10,75,80,0.34,0.74
Study15,Hall,2024,0.47,0.07,135,140,0.33,0.61
