individual_id,treatment_received,outcome_earnings_usd,age,years_education,prior_income_usd,gender,region
I001,1,45000,28,14,25000,M,Urban
I002,0,32000,25,12,22000,F,Rural
I003,1,52000,32,16,28000,M,Urban
I004,0,28000,23,11,20000,F,Rural
I005,1,48000,30,15,26000,M,Urban
I006,0,30000,26,12,21000,M,Rural
I007,1,55000,35,17,30000,F,Urban
I008,0,25000,22,10,19000,F,Rural
I009,1,50000,31,16,27000,M,Urban
I010,0,33000,27,13,23000,M,Rural
I011,1,58000,36,18,32000,F,Urban
I012,0,26000,24,11,20000,F,Rural
I013,1,46000,29,14,25000,M,Urban
I014,0,31000,25,12,22000,F,Rural
I015,1,54000,34,17,29000,M,Urban
I016,0,29000,26,12,21000,F,Rural
